variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=96  Seed=94  Result=0.00354153  Average=0.13030158  Best=0.00020361  BestSeed=88  Time=0.3754 Seconds  Run Time=43.0193 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=97  Seed=97  Result=0.00114287  Average=0.12897004  Best=0.00020361  BestSeed=88  Time=0.3765 Seconds  Run Time=43.4984 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=98  Seed=96  Result=0.00154948  Average=0.12766983  Best=0.00020361  BestSeed=88  Time=0.3731 Seconds  Run Time=43.5441 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=99  Seed=99  Result=0.85227418  Average=0.13498907  Best=0.00020361  BestSeed=88  Time=0.3756 Seconds  Run Time=44.1602 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=100  Seed=98  Result=0.00278747  Average=0.13366705  Best=0.00020361  BestSeed=88  Time=0.3737 Seconds  Run Time=44.3493 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=101  Seed=100  Result=0.00113106  Average=0.13235481  Best=0.00020361  BestSeed=88  Time=0.3733 Seconds  Run Time=44.6861 Seconds  TestError=0.00000084
FIRESTARTER_RANDOM: Generation=102  Seed=101  Result=0.00070410  Average=0.13106412  Best=0.00020361  BestSeed=88  Time=0.3751 Seconds  Run Time=45.2411 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=103  Seed=103  Result=0.00029576  Average=0.12979452  Best=0.00020361  BestSeed=88  Time=0.3722 Seconds  Run Time=45.3164 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=104  Seed=104  Result=0.00069994  Average=0.12855323  Best=0.00020361  BestSeed=88  Time=0.3732 Seconds  Run Time=45.7952 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=105  Seed=102  Result=0.00087881  Average=0.12733728  Best=0.00020361  BestSeed=88  Time=0.3728 Seconds  Run Time=46.1267 Seconds  TestError=0.00000131
FIRESTARTER_RANDOM: Generation=106  Seed=105  Result=0.00043356  Average=0.12614009  Best=0.00020361  BestSeed=88  Time=0.3721 Seconds  Run Time=46.4237 Seconds  TestError=0.00000013
FIRESTARTER_RANDOM: Generation=107  Seed=106  Result=0.01296565  Average=0.12508237  Best=0.00020361  BestSeed=88  Time=0.3743 Seconds  Run Time=47.0263 Seconds  TestError=0.00000039
FIRESTARTER_RANDOM: Generation=108  Seed=107  Result=0.00084160  Average=0.12393199  Best=0.00020361  BestSeed=88  Time=0.3709 Seconds  Run Time=47.0351 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=109  Seed=109  Result=0.00342128  Average=0.12282638  Best=0.00020361  BestSeed=88  Time=0.3734 Seconds  Run Time=47.6865 Seconds  TestError=0.00000316
FIRESTARTER_RANDOM: Generation=110  Seed=108  Result=0.00422051  Average=0.12174815  Best=0.00020361  BestSeed=88  Time=0.3719 Seconds  Run Time=47.8943 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=111  Seed=110  Result=1.48324537  Average=0.13401389  Best=0.00020361  BestSeed=88  Time=0.3708 Seconds  Run Time=48.1440 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=112  Seed=112  Result=0.01541699  Average=0.13295498  Best=0.00020361  BestSeed=88  Time=0.3717 Seconds  Run Time=48.6090 Seconds  TestError=0.00000011
