CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00023317  Best=0.00023317 BestError=0.00022721  Time=   7.2  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00164735  Best=0.00023317 BestError=0.00022721  Time=   7.4  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00010255  Best=0.00010255 BestError=0.00016545  Time=   7.6  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.07555139  Best=0.00010255 BestError=0.00016545  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=  15  Generation=  7  Age=  7  Evolution= 1  Weight=0.00099188  Old Result= 0.00016531  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.6  Run Time=  51.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   6  Id=  17  Generation= 11  Age=  5  Evolution= 2  Weight=0.00097140  Old Result= 0.00009714  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   5.0  Run Time=  54.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=  17  Generation= 10  Age=  4  Evolution= 2  Weight=0.00087426  Old Result= 0.00009714  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   5.3  Run Time=  54.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  15  Id=   2  Generation= 12  Age= 12  Evolution= 1  Weight=0.00112805  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   2.9  Run Time=  55.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=  17  Generation=  8  Age=  2  Evolution= 2  Weight=0.00067998  Old Result= 0.00009714  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   7.3  Run Time=  56.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=  14  Generation=  8  Age=  2  Evolution= 3  Weight=0.00081290  Old Result= 0.00011613  Bad Result=10.00000000  Best=0.00008535 BestError=0.00013423  Time=   7.4  Run Time=  56.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=  17  Generation=  9  Age=  3  Evolution= 2  Weight=0.00077712  Old Result= 0.00009714 *New Result=0.00008340  Best=0.00008340 BestError=0.00005999  Time=   7.4  Run Time=  56.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   5  Id=  14  Generation=  9  Age=  3  Evolution= 3  Weight=0.00092902  Old Result= 0.00011613 *New Result=0.00003384  Best=0.00003384 BestError=0.00003614  Time=   7.4  Run Time=  56.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=1.26700890  Best=0.00003384 BestError=0.00003614  Time=   7.6  Run Time=  56.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   9  Id=   2  Generation= 11  Age= 11  Evolution= 1  Weight=0.00102550  Old Result= 0.00010255  Bad Result=10.00000000  Best=0.00003384 BestError=0.00003614  Time=   2.1  Run Time=  58.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  13  Id=   7  Generation= 14  Age= 11  Evolution= 2  Weight=0.00110960  Old Result= 0.00008535  Bad Result=10.00000000  Best=0.00003384 BestError=0.00003614  Time=   2.3  Run Time=  59.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  14  Id=   5  Generation=  9  Age=  6  Evolution= 2  Weight=0.00112009  Old Result= 0.00014001 >New Result=0.00013006  Best=0.00003384 BestError=0.00003614  Time=   6.1  Run Time=  60.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  12  Id=  17  Generation= 12  Age=  6  Evolution= 2  Weight=0.00106854  Old Result= 0.00009714  Bad Result=10.00000000  Best=0.00003384 BestError=0.00003614  Time=   5.8  Run Time=  60.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  10  Id=  14  Generation= 10  Age=  4  Evolution= 3  Weight=0.00104515  Old Result= 0.00011613  Bad Result=10.00000000  Best=0.00003384 BestError=0.00003614  Time=   4.8  Run Time=  61.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=  11  Id=   1  Generation=  9  Age=  6  Evolution= 2  Weight=0.00105572  Old Result= 0.00013196 *New Result=0.00003374  Best=0.00003374 BestError=0.00005262  Time=   4.9  Run Time=  61.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   8  Id=   7  Generation= 13  Age= 10  Evolution= 2  Weight=0.00102425  Old Result= 0.00008535 >New Result=0.00003965  Best=0.00003374 BestError=0.00005262  Time=   4.7  Run Time=  61.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   1  Id=   1  Generation= 11  Age=  2  Evolution= 3  Weight=0.00033736  Old Result= 0.00003374  Bad Result=10.00000000  Best=0.00003374 BestError=0.00005262  Time=   2.2  Run Time=  64.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   3  Id=  14  Generation= 12  Age=  2  Evolution= 4  Weight=0.00037222  Old Result= 0.00003384  Bad Result=10.00000000  Best=0.00003374 BestError=0.00005262  Time=   2.4  Run Time=  64.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   2  Id=   1  Generation= 12  Age=  3  Evolution= 3  Weight=0.00037110  Old Result= 0.00003374  Bad Result=10.00000000  Best=0.00003374 BestError=0.00005262  Time=   2.5  Run Time=  64.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   7  Id=  14  Generation= 14  Age=  4  Evolution= 4  Weight=0.00043989  Old Result= 0.00003384  Bad Result=10.00000000  Best=0.00003374 BestError=0.00005262  Time=   2.4  Run Time=  64.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=13  Index=   4  Id=   1  Generation= 13  Age=  4  Evolution= 3  Weight=0.00040483  Old Result= 0.00003374  Bad Result=10.00000000  Best=0.00003374 BestError=0.00005262  Time=   2.5  Run Time=  64.5
