CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=2  Generation=11  Age=3  Result=0.00074410  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3509 Seconds  Run Time=42.5275 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=12  Age=4  Result=0.00100219  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3681 Seconds  Run Time=42.8956 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=13  Age=5  Result=0.04751396  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3512 Seconds  Run Time=43.2468 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=14  Age=6  Result=0.01638770  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3551 Seconds  Run Time=43.6019 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=15  Age=7  Result=0.00096644  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3524 Seconds  Run Time=43.9544 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=16  Age=8  Result=0.00110149  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3565 Seconds  Run Time=44.3109 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=17  Age=9  Result=0.00145715  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3528 Seconds  Run Time=44.6637 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=18  Age=10  Result=0.00165102  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3552 Seconds  Run Time=45.0189 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=19  Age=11  Result=0.00139964  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.2587 Seconds  Run Time=45.2776 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=20  Age=12  Result=0.04748441  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3558 Seconds  Run Time=45.6334 Seconds  TestError=0.00000012
