instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 64;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  62  Best=0.07588559  Result=0.10554144  Best=0.07588559  Seed=C0A94A66  ResultHash=668F  ProgramHash=E46A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00496354  Result=0.00496354  Best=0.00496354  Seed=C0A949CE  ResultHash=7D1C  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00351684  Result=0.00351684  Best=0.00351684  Seed=C0A94A32  ResultHash=44EB  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00236022  Result=0.00236022  Best=0.00236022  Seed=C0A94A96  ResultHash=2506  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00225830  Result=0.00225830  Best=0.00225830  Seed=C0A94AFA  ResultHash=F072  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00219065  Result=0.00219065  Best=0.00219065  Seed=C0A94B5E  ResultHash=A9CA  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00210434  Result=0.00210434  Best=0.00210434  Seed=C0A94BC2  ResultHash=7EDA  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00210434  Result=0.00211984  Best=0.00210434  Seed=C0A94C26  ResultHash=8516  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00208104  Result=0.00208104  Best=0.00208104  Seed=C0A94C8A  ResultHash=3494  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00202954  Result=0.00202954  Best=0.00202954  Seed=C0A94CEE  ResultHash=D88A  ProgramHash=C47F
