instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00128730  Result=0.00131849  Best=0.00128730  Seed=C0A955EA  ResultHash=20C3  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00128730  Result=0.00134259  Best=0.00128730  Seed=C0A9564E  ResultHash=7254  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00128730  Result=0.00133944  Best=0.00128730  Seed=C0A956B2  ResultHash=05D5  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00128730  Result=0.00131629  Best=0.00128730  Seed=C0A95716  ResultHash=9101  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00128730  Result=0.00135660  Best=0.00128730  Seed=C0A9577A  ResultHash=1E00  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00128730  Result=0.00131336  Best=0.00128730  Seed=C0A957DE  ResultHash=FED7  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00128730  Result=0.00132148  Best=0.00128730  Seed=C0A95842  ResultHash=B949  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00128730  Result=0.00133884  Best=0.00128730  Seed=C0A958A6  ResultHash=BF5B  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00128730  Result=0.00129926  Best=0.00128730  Seed=C0A9590A  ResultHash=507F  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00128126  Result=0.00128126  Best=0.00128126  Seed=C0A9596E  ResultHash=9AC1  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00125575  Result=0.00125575  Best=0.00125575  Seed=C0A959D2  ResultHash=BC4D  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00123399  Result=0.00123399  Best=0.00123399  Seed=C0A95A36  ResultHash=9347  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00123399  Result=0.00124717  Best=0.00123399  Seed=C0A95A9A  ResultHash=E772  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00123399  Result=0.00124428  Best=0.00123399  Seed=C0A95AFE  ResultHash=E5AB  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00123399  Result=0.00123587  Best=0.00123399  Seed=C0A95B62  ResultHash=96D1  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00123399  Result=0.00125856  Best=0.00123399  Seed=C0A95BC6  ResultHash=723F  ProgramHash=F3B8
