CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
instructions = 32
registers = 30
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_NEW
evolveSeed = 0
optimizeSeed = 0
tests = 256
streams = 1
units = 1
states = 1
generations = 100
population = 65536
passes = 1
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 85  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=4  Time=0.1  Run Time=6.5
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 86  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=5  Time=0.1  Run Time=6.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 87  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=6  Time=0.1  Run Time=6.6
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 88  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=7  Time=0.1  Run Time=6.7
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 89  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=8  Time=0.1  Run Time=6.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 90  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=9  Time=0.1  Run Time=6.8
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 91  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=10  Time=0.1  Run Time=6.9
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 92  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=11  Time=0.1  Run Time=7.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 93  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=12  Time=0.1  Run Time=7.0
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 94  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=13  Time=0.1  Run Time=7.1
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 95  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=14  Time=0.1  Run Time=7.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 96  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=15  Time=0.1  Run Time=7.2
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 97  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=16  Time=0.1  Run Time=7.3
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 98  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=17  Time=0.1  Run Time=7.4
FIRESTARTER_EVOLVE_NEW: Seed=0  Test= 0  Generation= 99  Old Result=0.66651011  Bad Result=0.66651011  MinIndex=44745  EvolveAge=3  Best=0.66651011   BestAge=18  Time=0.1  Run Time=7.4
