instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A1B  ResultHash=DE83  ProgramHash=3093
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A1E  ResultHash=5BA6  ProgramHash=3093
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A21  ResultHash=F523  ProgramHash=9DB1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A24  ResultHash=26C1  ProgramHash=74AF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A27  ResultHash=9F24  ProgramHash=AF6C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A2A  ResultHash=917A  ProgramHash=27B9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A2D  ResultHash=8B62  ProgramHash=3B78
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A30  ResultHash=6A20  ProgramHash=D637
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A33  ResultHash=6A20  ProgramHash=AD48
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A36  ResultHash=1C9F  ProgramHash=9441
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A39  ResultHash=1C9F  ProgramHash=A7BD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A3C  ResultHash=60EC  ProgramHash=3697
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A3F  ResultHash=C790  ProgramHash=6813
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.01722181  Result=0.01743514  Best=0.01722181  Seed=C0A94A42  ResultHash=97FB  ProgramHash=5017
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.01683474  Result=0.01683474  Best=0.01683474  Seed=C0A94A45  ResultHash=47ED  ProgramHash=C5EF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A48  ResultHash=5D7D  ProgramHash=1A24
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A4B  ResultHash=A7BB  ProgramHash=7947
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A4E  ResultHash=C8E8  ProgramHash=FEFA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A51  ResultHash=B57C  ProgramHash=3E49
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A54  ResultHash=D844  ProgramHash=87FF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A57  ResultHash=56DE  ProgramHash=87FF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A5A  ResultHash=CCA7  ProgramHash=34E6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A5D  ResultHash=04DD  ProgramHash=FAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.01683474  Result=0.01712680  Best=0.01683474  Seed=C0A94A60  ResultHash=D727  ProgramHash=81E3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.01683474  Result=0.01743514  Best=0.01683474  Seed=C0A94A63  ResultHash=04DD  ProgramHash=54D7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  83  Best=0.01683474  Result=0.01683730  Best=0.01683474  Seed=C0A94A66  ResultHash=0604  ProgramHash=D56E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  84  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A69  ResultHash=E077  ProgramHash=C75C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  85  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A6C  ResultHash=3D5C  ProgramHash=66B1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  86  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A6F  ResultHash=529B  ProgramHash=D949
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  87  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A72  ResultHash=1B2E  ProgramHash=0B8A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  88  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A75  ResultHash=C4AD  ProgramHash=7CCB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  89  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A78  ResultHash=3193  ProgramHash=7A25
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  90  Best=0.01683474  Result=0.01741695  Best=0.01683474  Seed=C0A94A7B  ResultHash=9EAB  ProgramHash=0FD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  91  Best=0.01631796  Result=0.01631796  Best=0.01631796  Seed=C0A94A7E  ResultHash=02EC  ProgramHash=86F3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  92  Best=0.01611477  Result=0.01611477  Best=0.01611477  Seed=C0A94A81  ResultHash=7B53  ProgramHash=86F3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  93  Best=0.01611477  Result=0.01719546  Best=0.01611477  Seed=C0A94A84  ResultHash=7BA9  ProgramHash=86F3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  94  Best=0.01611477  Result=0.01719546  Best=0.01611477  Seed=C0A94A87  ResultHash=0147  ProgramHash=F855
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  95  Best=0.01611477  Result=0.01719546  Best=0.01611477  Seed=C0A94A8A  ResultHash=7D30  ProgramHash=4761
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  96  Best=0.01611477  Result=0.01612427  Best=0.01611477  Seed=C0A94A8D  ResultHash=C4A1  ProgramHash=7E21
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  97  Best=0.01611477  Result=0.01628363  Best=0.01611477  Seed=C0A94A90  ResultHash=CB08  ProgramHash=55EC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  98  Best=0.01587975  Result=0.01587975  Best=0.01587975  Seed=C0A94A93  ResultHash=0262  ProgramHash=4F3B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  99  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94A96  ResultHash=1213  ProgramHash=CAA7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 100  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94A99  ResultHash=99B4  ProgramHash=EF94
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 101  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94A9C  ResultHash=4A76  ProgramHash=1549
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 102  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94A9F  ResultHash=BAA2  ProgramHash=410A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 103  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AA2  ResultHash=02AC  ProgramHash=0B9D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 104  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AA5  ResultHash=F5C1  ProgramHash=5933
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 105  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AA8  ResultHash=3E48  ProgramHash=FE8D
