variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_OPTIMIZE;
units = 1;
processes = 0;
population = 69632;
iterations = 512;
candidates = 16;
generations = 100;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE: Seed=73  Generation=73  Age=7  Best=0.00000107  BestSeed=66  Time=0.0123 Seconds  Run Time=68.6682 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=74  Generation=74  Age=8  Best=0.00000107  BestSeed=66  Time=0.0121 Seconds  Run Time=69.5779 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=75  Generation=75  Age=9  Best=0.00000107  BestSeed=66  Time=0.0120 Seconds  Run Time=70.4871 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=76  Generation=76  Age=10  Best=0.00000107  BestSeed=66  Time=0.0118 Seconds  Run Time=71.3980 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=77  Generation=77  Age=11  Best=0.00000107  BestSeed=66  Time=0.0117 Seconds  Run Time=72.3093 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=78  Generation=78  Age=12  Best=0.00000107  BestSeed=66  Time=0.0115 Seconds  Run Time=73.2186 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=79  Generation=79  Age=13  Best=0.00000107  BestSeed=66  Time=0.0114 Seconds  Run Time=74.1280 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=80  Generation=80  Age=14  Best=0.00000107  BestSeed=66  Time=0.0112 Seconds  Run Time=75.0386 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=81  Generation=81  Age=15  Best=0.00000107  BestSeed=66  Time=0.0111 Seconds  Run Time=75.9476 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=82  Generation=82  Age=16  Best=0.00000107  BestSeed=66  Time=0.0110 Seconds  Run Time=76.8586 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=83  Generation=83  Age=17  Best=0.00000107  BestSeed=66  Time=0.0108 Seconds  Run Time=77.7676 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=84  Generation=84  Age=18  Best=0.00000107  BestSeed=66  Time=0.0107 Seconds  Run Time=78.6790 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=85  Generation=85  Age=19  Best=0.00000107  BestSeed=66  Time=0.0106 Seconds  Run Time=79.5887 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=86  Generation=86  Age=20  Best=0.00000107  BestSeed=66  Time=0.0105 Seconds  Run Time=80.4991 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=87  Generation=87  Age=21  Best=0.00000107  BestSeed=66  Time=0.0103 Seconds  Run Time=81.4098 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=88  Generation=88  Age=22  Best=0.00000107  BestSeed=66  Time=0.0102 Seconds  Run Time=82.3202 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=89  Generation=89  Age=23  Best=0.00000107  BestSeed=66  Time=0.0101 Seconds  Run Time=83.2306 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=90  Generation=90  Age=24  Best=0.00000107  BestSeed=66  Time=0.0100 Seconds  Run Time=84.1405 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=91  Generation=91  Age=25  Best=0.00000107  BestSeed=66  Time=0.0099 Seconds  Run Time=85.0524 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=92  Generation=92  Age=26  Best=0.00000107  BestSeed=66  Time=0.0098 Seconds  Run Time=85.9645 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=93  Generation=93  Age=27  Best=0.00000107  BestSeed=66  Time=0.0097 Seconds  Run Time=86.8758 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=94  Generation=94  Age=28  Best=0.00000107  BestSeed=66  Time=0.0096 Seconds  Run Time=87.7876 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=95  Generation=95  Age=29  Best=0.00000107  BestSeed=66  Time=0.0095 Seconds  Run Time=88.6983 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=96  Generation=96  Age=30  Best=0.00000107  BestSeed=66  Time=0.0094 Seconds  Run Time=89.6095 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=97  Generation=97  Age=31  Best=0.00000107  BestSeed=66  Time=0.0093 Seconds  Run Time=90.5190 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=98  Generation=98  Age=32  Best=0.00000107  BestSeed=66  Time=0.0092 Seconds  Run Time=91.4325 Seconds  TestError=0.00000012
