variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 10;
processes = 16;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5243 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5246 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5248 Seconds  TestError=0.00000039
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5251 Seconds  TestError=0.00000003
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5254 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=9  Generation=9  Age=8  Best=0.00024478  BestSeed=3  Time=0.2137 Seconds  Run Time=41.5256 Seconds  TestError=0.00000030
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8455 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8458 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8461 Seconds  TestError=0.00000042
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8464 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8467 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8470 Seconds  TestError=0.00000271
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8472 Seconds  TestError=0.00000066
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8475 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8478 Seconds  TestError=0.00000054
FIRESTARTER_EVOLVE: Seed=10  Generation=10  Age=9  Best=0.00024478  BestSeed=3  Time=0.2322 Seconds  Run Time=43.8480 Seconds  TestError=0.00000054
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6894 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6897 Seconds  TestError=0.00000089
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6900 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6902 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6905 Seconds  TestError=0.00000337
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6907 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6910 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6913 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6915 Seconds  TestError=0.00000075
FIRESTARTER_EVOLVE: Seed=11  Generation=11  Age=10  Best=0.00024478  BestSeed=3  Time=0.2844 Seconds  Run Time=46.6918 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7331 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7334 Seconds  TestError=0.00000112
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7337 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7340 Seconds  TestError=0.00000005
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7343 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7345 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7348 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7351 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7353 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=12  Generation=12  Age=11  Best=0.00024478  BestSeed=3  Time=0.3044 Seconds  Run Time=49.7356 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3817 Seconds  TestError=0.00000042
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3821 Seconds  TestError=0.00000030
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3823 Seconds  TestError=0.00000015
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3826 Seconds  TestError=0.00000027
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3829 Seconds  TestError=0.00000003
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3832 Seconds  TestError=0.00000453
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3834 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3837 Seconds  TestError=0.00000029
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3840 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=13  Generation=13  Age=12  Best=0.00024478  BestSeed=3  Time=0.2649 Seconds  Run Time=52.3842 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=14  Generation=14  Age=13  Best=0.00024478  BestSeed=3  Time=0.2449 Seconds  Run Time=54.8309 Seconds  TestError=0.00000119
