CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.78000921  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00110316  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00210881  Best=0.00110316 BestError=0.00146174  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00110316 BestError=0.00146174  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   7  Id=  17  Generation= 18  Age=  8  Evolution= 2  Weight=0.00026809  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.6  Run Time=  54.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  11  Id=  17  Generation= 22  Age= 12  Evolution= 2  Weight=0.00033117  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.4  Run Time=  57.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  13  Id=  17  Generation= 24  Age= 14  Evolution= 2  Weight=0.00036271  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.4  Run Time=  57.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  12  Id=  17  Generation= 23  Age= 13  Evolution= 2  Weight=0.00034694  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.7  Run Time=  57.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   9  Id=  17  Generation= 20  Age= 10  Evolution= 2  Weight=0.00029963  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   2.7  Run Time=  57.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00001577 BestError=0.00002256  Time=   6.4  Run Time=  58.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   6  Id=  17  Generation= 17  Age=  7  Evolution= 2  Weight=0.00025232  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   6.4  Run Time=  58.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   2  Id=  17  Generation= 13  Age=  3  Evolution= 2  Weight=0.00018924  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001577 BestError=0.00002256  Time=   6.5  Run Time=  58.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=  15  Id=  17  Generation= 26  Age= 16  Evolution= 2  Weight=0.00039425  Old Result= 0.00001577 *New Result=0.00001502  Best=0.00001502 BestError=0.00002332  Time=   4.8  Run Time=  59.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=14  Index=   8  Id=  17  Generation= 19  Age=  9  Evolution= 2  Weight=0.00028386  Old Result= 0.00001577  Bad Result=10.00000000  Best=0.00001502 BestError=0.00002332  Time=   1.2  Run Time=  59.9
