variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 512;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 111  Best=0.00628996  Result=0.00771987  Best=0.00628996  Seed=C0A94B9A  ResultHash=B77E  ProgramHash=FE4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 112  Best=0.00628996  Result=0.00762105  Best=0.00628996  Seed=C0A94B9F  ResultHash=46A6  ProgramHash=FE4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 113  Best=0.00628996  Result=0.00768578  Best=0.00628996  Seed=C0A94BA4  ResultHash=5BEF  ProgramHash=56F9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 114  Best=0.00628996  Result=0.00712413  Best=0.00628996  Seed=C0A94BA9  ResultHash=43FA  ProgramHash=5D68
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 115  Best=0.00628996  Result=0.00657332  Best=0.00628996  Seed=C0A94BAE  ResultHash=F038  ProgramHash=40F0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 116  Best=0.00628996  Result=0.00758445  Best=0.00628996  Seed=C0A94BB3  ResultHash=4BAC  ProgramHash=24C4
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00214434  Result=0.00214434  Best=0.00214434  Seed=C0A949CE  ResultHash=52C9  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00168291  Result=0.00168291  Best=0.00168291  Seed=C0A94A32  ResultHash=A669  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00081408  Result=0.00081408  Best=0.00081408  Seed=C0A94A96  ResultHash=8120  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00076491  Result=0.00076491  Best=0.00076491  Seed=C0A94AFA  ResultHash=E830  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00073791  Result=0.00073791  Best=0.00073791  Seed=C0A94B5E  ResultHash=7723  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00071359  Result=0.00071359  Best=0.00071359  Seed=C0A94BC2  ResultHash=C944  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00070763  Result=0.00070763  Best=0.00070763  Seed=C0A94C26  ResultHash=47F4  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00070113  Result=0.00070113  Best=0.00070113  Seed=C0A94C8A  ResultHash=A210  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00070113  Result=0.00070441  Best=0.00070113  Seed=C0A94CEE  ResultHash=1CED  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00070113  Result=0.00070548  Best=0.00070113  Seed=C0A94D52  ResultHash=4C08  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00070113  Result=0.00071096  Best=0.00070113  Seed=C0A94DB6  ResultHash=5B3E  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00070113  Result=0.00071597  Best=0.00070113  Seed=C0A94E1A  ResultHash=8105  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00070113  Result=0.00070775  Best=0.00070113  Seed=C0A94E7E  ResultHash=6ACB  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00070113  Result=0.00070626  Best=0.00070113  Seed=C0A94EE2  ResultHash=5307  ProgramHash=C801
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00070113  Result=0.00070596  Best=0.00070113  Seed=C0A94F46  ResultHash=748F  ProgramHash=C801
