CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
seed = 3
optimizeSeed = 0
seeds = 100
tests = 1
units = 4
processes = 0
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=54  Age=35  Result=0.00071847  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1197 Seconds  Run Time=79.4398 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=55  Age=36  Result=0.00166216  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1394 Seconds  Run Time=79.9973 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=56  Age=37  Result=0.00113332  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1005 Seconds  Run Time=80.3995 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=57  Age=38  Result=0.00113264  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.2725 Seconds  Run Time=81.4896 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=58  Age=39  Result=0.00152862  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1388 Seconds  Run Time=82.0448 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=59  Age=40  Result=0.00065574  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1537 Seconds  Run Time=82.6596 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=60  Age=41  Result=0.00100422  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1289 Seconds  Run Time=83.1753 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=61  Age=42  Result=0.07488570  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1238 Seconds  Run Time=83.6705 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=62  Age=43  Result=0.00099206  Best=0.00051146  BestSeed=98  BestGen=19  Time=0.1421 Seconds  Run Time=84.2387 Seconds  TestError=0.00000001
FIRESTARTER_REVOLVE: Seed=98  Unit=3  Generation=63  Age=0 *Result=0.00040948  Best=0.00040948  BestSeed=98  BestGen=63  Time=0.2132 Seconds  Run Time=85.0916 Seconds  TestError=0.00000024
