CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.10688785  Best=0.10688785 BestError=0.10497549  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00157154  Best=0.00157154 BestError=0.00145507  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00134990  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00356865  Best=0.00134990 BestError=0.00119357  Time=   7.7  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00134990  Old Result= 0.00134990  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   7.2  Run Time=  60.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   1  Id=  13  Generation= 11  Age=  5  Evolution= 3  Weight=0.00132054  Old Result= 0.00013205  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   7.3  Run Time=  60.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00010037  Best=0.00005877 BestError=0.00005972  Time=   7.3  Run Time=  60.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  11  Id=  12  Generation= 21  Age=  4  Evolution= 4  Weight=0.00150122  Old Result= 0.00007506  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.2  Run Time=  60.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   7  Id=  13  Generation= 12  Age=  6  Evolution= 3  Weight=0.00145259  Old Result= 0.00013205 >New Result=0.00012040  Best=0.00005877 BestError=0.00005972  Time=   7.4  Run Time=  60.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  12  Id=   9  Generation= 27  Age= 16  Evolution= 3  Weight=0.00152802  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.1  Run Time=  61.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   8  Id=   9  Generation= 26  Age= 15  Evolution= 3  Weight=0.00146925  Old Result= 0.00005877  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   1.6  Run Time=  62.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=  12  Generation= 22  Age=  5  Evolution= 4  Weight=0.00157628  Old Result= 0.00007506  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   6.4  Run Time=  62.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  15  Id=  13  Generation= 13  Age=  7  Evolution= 3  Weight=0.00158465  Old Result= 0.00013205  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   1.6  Run Time=  62.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  10  Id=  16  Generation=  2  Age=  2  Evolution= 1  Weight=0.00149416  Old Result= 0.00149416  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   3.1  Run Time=  63.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   9  Id=   6  Generation=  8  Age=  2  Evolution= 2  Weight=0.00147856  Old Result= 0.00021122  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.9  Run Time=  63.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   6  Id=  19  Generation=  7  Age=  7  Evolution= 1  Weight=0.00060225  Old Result= 0.00010037  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.4  Run Time=  66.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   2  Id=  19  Generation=  3  Age=  3  Evolution= 1  Weight=0.00020075  Old Result= 0.00010037  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.5  Run Time=  66.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   5  Id=  19  Generation=  6  Age=  6  Evolution= 1  Weight=0.00050187  Old Result= 0.00010037  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.9  Run Time=  67.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=   4  Id=  19  Generation=  5  Age=  5  Evolution= 1  Weight=0.00040150  Old Result= 0.00010037  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   5.4  Run Time=  69.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=10  Index=  14  Id=  19  Generation= 15  Age= 15  Evolution= 1  Weight=0.00140524  Old Result= 0.00010037  Bad Result=10.00000000  Best=0.00005877 BestError=0.00005972  Time=   2.8  Run Time=  69.7
