CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE_GPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 1
states = 1
generations = 0
population = 8192
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 1

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 38  Age=  6  Evolution= 0  Weight=0.00000000  Old Result=0.00092244 >New Result=0.00016403  Index=7840  EvolveAge1=197  EvolveAge2=205  Best=0.00006032   BestAge=21  Time=1.1 Seconds  Run Time=1975.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 39  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00016403  Bad Result=0.00016403  Index=7840  EvolveAge1=697  EvolveAge2=205  Best=0.00006032   BestAge=22  Time=1.1 Seconds  Run Time=1976.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 40  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00016403  Bad Result=0.00089210  Index=5064  EvolveAge1=382  EvolveAge2=134  Best=0.00006032   BestAge=23  Time=1.1 Seconds  Run Time=1977.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 41  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00089210  Bad Result=0.00089210  Index=5064  EvolveAge1=882  EvolveAge2=134  Best=0.00006032   BestAge=24  Time=1.1 Seconds  Run Time=1978.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 42  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00089210 >New Result=0.00061202  Index=5872  EvolveAge1=0  EvolveAge2=13458  Best=0.00006032   BestAge=25  Time=1.1 Seconds  Run Time=1979.9 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 43  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00061202 >New Result=0.00041711  Index=5872  EvolveAge1=1  EvolveAge2=13570  Best=0.00006032   BestAge=26  Time=1.1 Seconds  Run Time=1981.0 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 44  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00041711 >New Result=0.00026369  Index=5872  EvolveAge1=0  EvolveAge2=13701  Best=0.00006032   BestAge=27  Time=1.1 Seconds  Run Time=1982.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 45  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00026369  Bad Result=0.00026369  Index=5872  EvolveAge1=500  EvolveAge2=13701  Best=0.00006032   BestAge=28  Time=1.1 Seconds  Run Time=1983.2 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 46  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00026369  Bad Result=0.00026369  Index=5872  EvolveAge1=1000  EvolveAge2=13701  Best=0.00006032   BestAge=29  Time=1.1 Seconds  Run Time=1984.2 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 47  Age=  3  Evolution= 0  Weight=0.00000000  Old Result=0.00026369  Bad Result=0.00026369  Index=5872  EvolveAge1=1500  EvolveAge2=13701  Best=0.00006032   BestAge=30  Time=1.1 Seconds  Run Time=1985.3 Seconds
FIRESTARTER_OPTIMIZE_GPU: Seed=0  Test=13  Optimize=0  Generation= 47 *Result=0.00018224  Best=0.00018224   Time=2.3 Seconds  Run Time=1987.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 48  Age=  4  Evolution= 0  Weight=0.00000000  Old Result=0.00026369 >New Result=0.00024974  Index=5872  EvolveAge1=112  EvolveAge2=15509  Best=0.00006032   BestAge=31  Time=1.1 Seconds  Run Time=1988.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 49  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=612  EvolveAge2=15509  Best=0.00006032   BestAge=32  Time=1.1 Seconds  Run Time=1989.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 50  Age=  2  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=1112  EvolveAge2=15509  Best=0.00006032   BestAge=33  Time=1.1 Seconds  Run Time=1990.9 Seconds
