variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.04908478  Result=0.16693676  Best=0.04908478  Seed=5FA82BBD  ResultHash=BC9F  ProgramHash=208B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.04908478  Result=0.13090044  Best=0.04908478  Seed=5FA82BC2  ResultHash=EA1B  ProgramHash=2957
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.04908478  Result=0.10966605  Best=0.04908478  Seed=5FA82BC7  ResultHash=317A  ProgramHash=23A2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.04908478  Result=0.12242934  Best=0.04908478  Seed=5FA82BCC  ResultHash=180B  ProgramHash=6C29
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.04908478  Result=0.18643218  Best=0.04908478  Seed=5FA82BD1  ResultHash=AB48  ProgramHash=6E80
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.04908478  Result=0.14100246  Best=0.04908478  Seed=5FA82BD6  ResultHash=D7C2  ProgramHash=C706
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.04908478  Result=0.15842009  Best=0.04908478  Seed=5FA82BDB  ResultHash=3602  ProgramHash=6326
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.04908478  Result=0.15250391  Best=0.04908478  Seed=5FA82BE0  ResultHash=A8D5  ProgramHash=CE0D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.04908478  Result=0.13524246  Best=0.04908478  Seed=5FA82BE5  ResultHash=9BA2  ProgramHash=12B0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.04908478  Result=0.12172318  Best=0.04908478  Seed=5FA82BEA  ResultHash=65DF  ProgramHash=38AB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.04908478  Result=0.14070249  Best=0.04908478  Seed=5FA82BEF  ResultHash=FC88  ProgramHash=6037
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.04908478  Result=0.09297055  Best=0.04908478  Seed=5FA82BF4  ResultHash=6C1B  ProgramHash=6037
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.04908478  Result=0.09271443  Best=0.04908478  Seed=5FA82BF9  ResultHash=5E00  ProgramHash=7E51
