variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1234;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.00153089  Result=0.00164545  Best=0.00153089  Seed=4F2964A4  ResultHash=1673  ProgramHash=6E41
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.00153089  Result=0.00318360  Best=0.00153089  Seed=4F2964A9  ResultHash=D2A9  ProgramHash=FBCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  79  Best=0.00109630  Result=0.00109630  Best=0.00109630  Seed=4F2964AE  ResultHash=5580  ProgramHash=92F5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  80  Best=0.00109630  Result=0.00120878  Best=0.00109630  Seed=4F2964B3  ResultHash=10B0  ProgramHash=A12D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.00109630  Result=0.00330377  Best=0.00109630  Seed=4F2964B8  ResultHash=743C  ProgramHash=981A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.00109630  Result=0.00296891  Best=0.00109630  Seed=4F2964BD  ResultHash=2C6D  ProgramHash=BC20
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  83  Best=0.00109630  Result=0.00255620  Best=0.00109630  Seed=4F2964C2  ResultHash=CADB  ProgramHash=92CF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  84  Best=0.00109630  Result=0.00413132  Best=0.00109630  Seed=4F2964C7  ResultHash=DC5C  ProgramHash=D6AF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  85  Best=0.00109630  Result=0.00299156  Best=0.00109630  Seed=4F2964CC  ResultHash=631E  ProgramHash=8490
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  86  Best=0.00109630  Result=0.00156283  Best=0.00109630  Seed=4F2964D1  ResultHash=1D5B  ProgramHash=8490
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  87  Best=0.00109630  Result=0.00192844  Best=0.00109630  Seed=4F2964D6  ResultHash=49AA  ProgramHash=D846
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  88  Best=0.00109630  Result=0.00343716  Best=0.00109630  Seed=4F2964DB  ResultHash=20C6  ProgramHash=92AF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  89  Best=0.00109630  Result=0.00248468  Best=0.00109630  Seed=4F2964E0  ResultHash=003E  ProgramHash=4DCE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  90  Best=0.00109630  Result=0.00320038  Best=0.00109630  Seed=4F2964E5  ResultHash=CC01  ProgramHash=64A4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  91  Best=0.00109630  Result=0.00309405  Best=0.00109630  Seed=4F2964EA  ResultHash=F531  ProgramHash=0122
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  92  Best=0.00109630  Result=0.00262874  Best=0.00109630  Seed=4F2964EF  ResultHash=65B3  ProgramHash=6D22
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  93  Best=0.00109630  Result=0.00320518  Best=0.00109630  Seed=4F2964F4  ResultHash=BB28  ProgramHash=9FF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  94  Best=0.00109630  Result=0.00320393  Best=0.00109630  Seed=4F2964F9  ResultHash=E2FF  ProgramHash=807F
