CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 1
seeds = 64
units = 4
population = 278528
iterations = 64
optimizations = 500
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=61  Id=61  CopyId=61  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.02178927  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=62  Id=62  CopyId=62  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.00037365  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=63  Id=63  CopyId=63  Generation=  0  Age=  0  Evolution= 1  Old Result=10.00000000 >New Result=0.11515537  Best=0.00022906  BestError=0.00000024  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 0  Id=37  CopyId=37  Generation=  1  Age=  1  Evolution= 1  Old Result=0.00022906  Bad Result=0.00466709  Best=0.00022906  BestError=0.00000024  BestAge=1
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 1  Id=54  CopyId=54  Generation=  1  Age=  1  Evolution= 1  Old Result=0.00025700  Bad Result=0.00607689  Best=0.00022906  BestError=0.00000024  BestAge=1
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 2  Id=25  CopyId=25  Generation=  1  Age=  1  Evolution= 1  Old Result=0.00026983  Bad Result=0.00142334  Best=0.00022906  BestError=0.00000024  BestAge=1
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 3  Id=62  CopyId=54  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00037365 *New Result=0.00022459  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 4  Id=51  CopyId=51  Generation=  1  Age=  1  Evolution= 1  Old Result=0.00070179  Bad Result=0.00072336  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 5  Id=15  CopyId=25  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00079525 >New Result=0.00035337  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 6  Id=59  CopyId=54  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00083452 >New Result=0.00027508  Best=0.00022459  BestError=0.00000007  BestAge=0
