variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
processes = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE: Seed=54  Generation=54  Age=0  Best=0.01297754  BestSeed=54  Time=0.5177 Seconds  Run Time=28.8168 Seconds  TestError=19797551283037011968.00000000
FIRESTARTER_CODE: Seed=55  Generation=55  Age=1  Best=0.01297754  BestSeed=54  Time=0.5182 Seconds  Run Time=29.3257 Seconds  TestError=19797551283037011968.00000000
FIRESTARTER_CODE: Seed=56  Generation=56  Age=0  Best=0.01286614  BestSeed=56  Time=0.5118 Seconds  Run Time=29.8466 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=57  Generation=57  Age=1  Best=0.01286614  BestSeed=56  Time=0.5172 Seconds  Run Time=30.3547 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=58  Generation=58  Age=2  Best=0.01286614  BestSeed=56  Time=0.5112 Seconds  Run Time=30.8660 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=59  Generation=59  Age=3  Best=0.01286614  BestSeed=56  Time=0.5158 Seconds  Run Time=31.3818 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=60  Generation=60  Age=4  Best=0.01286614  BestSeed=56  Time=0.5129 Seconds  Run Time=31.8947 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=61  Generation=61  Age=5  Best=0.01286614  BestSeed=56  Time=0.5174 Seconds  Run Time=32.4122 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=62  Generation=62  Age=6  Best=0.01286614  BestSeed=56  Time=0.5139 Seconds  Run Time=32.9260 Seconds  TestError=48919119499288903680.00000000
FIRESTARTER_CODE: Seed=63  Generation=63  Age=0  Best=0.01280057  BestSeed=63  Time=0.5210 Seconds  Run Time=33.4563 Seconds  TestError=1938072146113591607558144.00000000
