variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 6;
process = 1;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=352  Seed=352  Result=0.00106862  Average=0.00031092  Best=0.00016552  BestSeed=100  Time=28.8142 Seconds  Run Time=31.3708 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=354  Seed=354  Result=0.00100392  Average=0.00031200  Best=0.00016552  BestSeed=100  Time=28.9164 Seconds  Run Time=31.4730 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=358  Seed=358  Result=0.00016552  Average=0.00030897  Best=0.00016552  BestSeed=100  Time=29.2840 Seconds  Run Time=31.8406 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=365  Seed=365  Result=0.00081635  Average=0.00030528  Best=0.00016552  BestSeed=100  Time=29.6655 Seconds  Run Time=32.2221 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=367  Seed=367  Result=0.00061893  Average=0.00030531  Best=0.00016552  BestSeed=100  Time=29.9134 Seconds  Run Time=32.4699 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=368  Seed=368  Result=0.00106862  Average=0.00030738  Best=0.00016552  BestSeed=100  Time=29.9571 Seconds  Run Time=32.5137 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=369  Seed=369  Result=0.00048745  Average=0.00030787  Best=0.00016552  BestSeed=100  Time=30.0469 Seconds  Run Time=32.6034 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=372  Seed=372  Result=0.00100392  Average=0.00030808  Best=0.00016552  BestSeed=100  Time=30.1506 Seconds  Run Time=32.7071 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=377  Seed=377  Result=0.00016552  Average=0.00030444  Best=0.00016552  BestSeed=100  Time=30.6343 Seconds  Run Time=33.1909 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=382  Seed=382  Result=0.00081635  Average=0.00030259  Best=0.00016552  BestSeed=100  Time=31.0258 Seconds  Run Time=33.5824 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=385  Seed=385  Result=0.00061893  Average=0.00030184  Best=0.00016552  BestSeed=100  Time=31.1821 Seconds  Run Time=33.7387 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=386  Seed=386  Result=0.00106862  Average=0.00030383  Best=0.00016552  BestSeed=100  Time=31.3060 Seconds  Run Time=33.8626 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=387  Seed=387  Result=0.00048745  Average=0.00030430  Best=0.00016552  BestSeed=100  Time=31.3529 Seconds  Run Time=33.9094 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=389  Seed=389  Result=0.00052921  Average=0.00030410  Best=0.00016552  BestSeed=100  Time=31.4413 Seconds  Run Time=33.9978 Seconds  TestError=0.00000004
FIRESTARTER_RANDOM: Generation=390  Seed=390  Result=0.00016552  Average=0.00030374  Best=0.00016552  BestSeed=100  Time=31.4627 Seconds  Run Time=34.0192 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=394  Seed=394  Result=0.00081635  Average=0.00030273  Best=0.00016552  BestSeed=100  Time=31.8315 Seconds  Run Time=34.3881 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=397  Seed=397  Result=0.00061893  Average=0.00030200  Best=0.00016552  BestSeed=100  Time=32.0190 Seconds  Run Time=34.5756 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=398  Seed=398  Result=0.00106862  Average=0.00030393  Best=0.00016552  BestSeed=100  Time=32.1554 Seconds  Run Time=34.7119 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=399  Seed=399  Result=0.00048745  Average=0.00030439  Best=0.00016552  BestSeed=100  Time=32.2338 Seconds  Run Time=34.7904 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=400  Seed=400  Result=0.00052921  Average=0.00030495  Best=0.00016552  BestSeed=100  Time=32.2992 Seconds  Run Time=34.8558 Seconds  TestError=0.00000004
FIRESTARTER_RANDOM: Generation=402  Seed=402  Result=0.00016552  Average=0.00030384  Best=0.00016552  BestSeed=100  Time=32.3135 Seconds  Run Time=34.8701 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=405  Seed=405  Result=0.00081635  Average=0.00030361  Best=0.00016552  BestSeed=100  Time=32.6870 Seconds  Run Time=35.2436 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=409  Seed=409  Result=0.00061893  Average=0.00030215  Best=0.00016552  BestSeed=100  Time=32.8577 Seconds  Run Time=35.4142 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=410  Seed=410  Result=0.00106862  Average=0.00030402  Best=0.00016552  BestSeed=100  Time=33.1176 Seconds  Run Time=35.6742 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=417  Seed=417  Result=0.00048745  Average=0.00030009  Best=0.00016552  BestSeed=100  Time=33.4630 Seconds  Run Time=36.0195 Seconds  TestError=0.00000042
