variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=66  Seed=66  Result=0.00301139  Average=0.03361605  Best=0.00025827  BestSeed=8  Time=0.1741 Seconds  Run Time=16.9333 Seconds  TestError=8.51675415  V:0=0.00301139  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=67  Seed=61  Result=0.00069535  Average=0.03312470  Best=0.00025827  BestSeed=8  Time=0.1751 Seconds  Run Time=17.1741 Seconds  TestError=7.79230595  V:0=0.00012904  V:1=0.00069535  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=68  Seed=67  Result=0.85227418  Average=0.04517101  Best=0.00025827  BestSeed=8  Time=0.1738 Seconds  Run Time=17.2612 Seconds  TestError=7.79230595  V:0=0.00011581  V:1=0.85227418  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=69  Seed=69  Result=0.00077355  Average=0.04452757  Best=0.00025827  BestSeed=8  Time=0.1736 Seconds  Run Time=17.4233 Seconds  TestError=8.51675415  V:0=0.00077355  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=70  Seed=71  Result=0.00082260  Average=0.04390321  Best=0.00025827  BestSeed=8  Time=0.1733 Seconds  Run Time=17.5746 Seconds  TestError=8.51675415  V:0=0.00082260  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=71  Seed=70  Result=0.01260439  Average=0.04346239  Best=0.00025827  BestSeed=8  Time=0.1730 Seconds  Run Time=17.7293 Seconds  TestError=8.51675415  V:0=0.01260439  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=72  Seed=68  Result=0.00077000  Average=0.04286944  Best=0.00025827  BestSeed=8  Time=0.1709 Seconds  Run Time=17.7461 Seconds  TestError=8.51675415  V:0=0.00077000  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=73  Seed=72  Result=0.00076535  Average=0.04229267  Best=0.00025827  BestSeed=8  Time=0.1704 Seconds  Run Time=17.8838 Seconds  TestError=8.51675415  V:0=0.00076535  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=74  Seed=73  Result=0.00039285  Average=0.04172646  Best=0.00025827  BestSeed=8  Time=0.1743 Seconds  Run Time=18.3383 Seconds  TestError=8.51675415  V:0=0.00039285  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=75  Seed=74  Result=0.00121307  Average=0.04118628  Best=0.00025827  BestSeed=8  Time=0.1719 Seconds  Run Time=18.3387 Seconds  TestError=0.00000000  V:0=0.00012639  V:1=0.00017810  V:2=0.00121307
FIRESTARTER_RANDOM: Generation=76  Seed=77  Result=0.00077161  Average=0.04065451  Best=0.00025827  BestSeed=8  Time=0.1719 Seconds  Run Time=18.5061 Seconds  TestError=8.51675415  V:0=0.00077161  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=77  Seed=75  Result=0.00087818  Average=0.04013793  Best=0.00025827  BestSeed=8  Time=0.1755 Seconds  Run Time=18.9589 Seconds  TestError=8.51675415  V:0=0.00087818  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=78  Seed=76  Result=0.00125211  Average=0.03963939  Best=0.00025827  BestSeed=8  Time=0.1735 Seconds  Run Time=18.9751 Seconds  TestError=0.00000048  V:0=0.00012127  V:1=0.00024545  V:2=0.00125211
FIRESTARTER_RANDOM: Generation=79  Seed=80  Result=0.00029579  Average=0.03914138  Best=0.00025827  BestSeed=8  Time=0.1734 Seconds  Run Time=19.1389 Seconds  TestError=8.51675415  V:0=0.00029579  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=80  Seed=79  Result=0.00032347  Average=0.03865615  Best=0.00025827  BestSeed=8  Time=0.1751 Seconds  Run Time=19.4519 Seconds  TestError=7.79230595  V:0=0.00022362  V:1=0.00032347  V:2=10.00000000
