variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  81  Best=0.01227278  Result=0.01789129  Best=0.01227278  Seed=5FA82C44  ResultHash=C702  ProgramHash=5CFB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  82  Best=0.01227278  Result=0.01792622  Best=0.01227278  Seed=5FA82C49  ResultHash=9094  ProgramHash=6DD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  83  Best=0.01227278  Result=0.01766324  Best=0.01227278  Seed=5FA82C4E  ResultHash=0577  ProgramHash=25C7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  84  Best=0.01227278  Result=0.01711234  Best=0.01227278  Seed=5FA82C53  ResultHash=A798  ProgramHash=6DD3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  85  Best=0.01227278  Result=0.01683879  Best=0.01227278  Seed=5FA82C58  ResultHash=81ED  ProgramHash=30ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  86  Best=0.01227278  Result=0.01714772  Best=0.01227278  Seed=5FA82C5D  ResultHash=5F2D  ProgramHash=0D9C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  87  Best=0.01227278  Result=0.01716006  Best=0.01227278  Seed=5FA82C62  ResultHash=2A8A  ProgramHash=0E20
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  88  Best=0.01227278  Result=0.01693571  Best=0.01227278  Seed=5FA82C67  ResultHash=C3B8  ProgramHash=0C38
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  89  Best=0.01227278  Result=0.01691106  Best=0.01227278  Seed=5FA82C6C  ResultHash=231D  ProgramHash=0C38
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  90  Best=0.01227278  Result=0.01685250  Best=0.01227278  Seed=5FA82C71  ResultHash=2DD9  ProgramHash=881A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  91  Best=0.01227278  Result=0.01672709  Best=0.01227278  Seed=5FA82C76  ResultHash=107B  ProgramHash=237D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  92  Best=0.01227278  Result=0.01613212  Best=0.01227278  Seed=5FA82C7B  ResultHash=97E9  ProgramHash=6260
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  93  Best=0.01227278  Result=0.01610386  Best=0.01227278  Seed=5FA82C80  ResultHash=BE85  ProgramHash=8A36
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  94  Best=0.01227278  Result=0.01651233  Best=0.01227278  Seed=5FA82C85  ResultHash=B25B  ProgramHash=EDEE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  95  Best=0.01227278  Result=0.01608580  Best=0.01227278  Seed=5FA82C8A  ResultHash=591A  ProgramHash=4D47
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  96  Best=0.01227278  Result=0.01652521  Best=0.01227278  Seed=5FA82C8F  ResultHash=6283  ProgramHash=AA4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  97  Best=0.01227278  Result=0.01552451  Best=0.01227278  Seed=5FA82C94  ResultHash=1B07  ProgramHash=AFE2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  98  Best=0.01227278  Result=0.01495659  Best=0.01227278  Seed=5FA82C99  ResultHash=389F  ProgramHash=7312
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  99  Best=0.01227278  Result=0.01489671  Best=0.01227278  Seed=5FA82C9E  ResultHash=9793  ProgramHash=2500
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 100  Best=0.01227278  Result=0.01671690  Best=0.01227278  Seed=5FA82CA3  ResultHash=5649  ProgramHash=AFCB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 101  Best=0.01227278  Result=0.01647532  Best=0.01227278  Seed=5FA82CA8  ResultHash=7023  ProgramHash=467B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 102  Best=0.01227278  Result=0.01617229  Best=0.01227278  Seed=5FA82CAD  ResultHash=86BF  ProgramHash=4FDD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 103  Best=0.01227278  Result=0.01621687  Best=0.01227278  Seed=5FA82CB2  ResultHash=773F  ProgramHash=68D5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 104  Best=0.01227278  Result=0.01608801  Best=0.01227278  Seed=5FA82CB7  ResultHash=047A  ProgramHash=079B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 105  Best=0.01227278  Result=0.01624668  Best=0.01227278  Seed=5FA82CBC  ResultHash=071C  ProgramHash=079B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 106  Best=0.01227278  Result=0.01463330  Best=0.01227278  Seed=5FA82CC1  ResultHash=0575  ProgramHash=E23F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 107  Best=0.01227278  Result=0.01549226  Best=0.01227278  Seed=5FA82CC6  ResultHash=0DFA  ProgramHash=F117
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00362985  Result=0.00362985  Best=0.00362985  Seed=C0A949CE  ResultHash=1FAF  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00362985  Result=0.00403225  Best=0.00403225  Seed=C0A94A32  ResultHash=1ADD  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00220028  Result=0.00220028  Best=0.00220028  Seed=C0A94A96  ResultHash=AE03  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00184354  Result=0.00184354  Best=0.00184354  Seed=C0A94AFA  ResultHash=47DA  ProgramHash=404B
