CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=5  Generation=1  Age=0  Evolution=1  Result=0.00093439  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7454 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=6  Generation=1  Age=0  Evolution=1  Result=0.00102407  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7456 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=7  Generation=1  Age=0  Evolution=1  Result=0.00148416  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7459 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=8  Generation=1  Age=0  Evolution=1  Result=0.00147164  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7461 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=9  Generation=1  Age=0  Evolution=1  Result=0.00164099  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7463 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=10  Generation=1  Age=0  Evolution=1  Result=0.00171530  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7465 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=11  Generation=1  Age=0  Evolution=1  Result=0.00219232  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7467 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=12  Generation=1  Age=0  Evolution=1  Result=0.00220203  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7469 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=13  Generation=1  Age=0  Evolution=1  Result=0.00248480  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7472 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=14  Generation=1  Age=0  Evolution=1  Result=0.00277591  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7474 Seconds  TestError=0.00000090
