CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 4
processes = 4
population = 278528
iterations = 64
generations = 500
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=60  Id=60  CopyId=60  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1530 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=61  Id=61  CopyId=61  Generation=0  Age=0  Evolution=0  Result=0.01499611  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1532 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=62  Id=62  CopyId=62  Generation=0  Age=0  Evolution=0  Result=0.00031649  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0000 Seconds  Run Time=12142.1534 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=63  Id=63  CopyId=63  Generation=0  Age=0  Evolution=0  Result=0.13668758  Best=0.00020897  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=12142.1537 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=0  Id=54  CopyId=54  Generation=1  Age=0  Evolution=1 *Result=0.00019905  Best=0.00019905  BestSeed=0  BestGen=1  Time=61.2987 Seconds  Run Time=12387.3483 Seconds  TestError=0.00000158
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=1  Id=25  CopyId=25  Generation=1  Age=0  Evolution=1 *Result=0.00016606  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0244 Seconds  Run Time=12387.4457 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=2  Id=62  CopyId=62  Generation=1  Age=0  Evolution=1  Result=0.00031649  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0030 Seconds  Run Time=12387.4577 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=3  Id=21  CopyId=21  Generation=1  Age=0  Evolution=1  Result=0.00055248  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4581 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=4  Id=15  CopyId=15  Generation=1  Age=0  Evolution=1  Result=0.00033444  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4584 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=5  Id=50  CopyId=50  Generation=1  Age=0  Evolution=1  Result=0.00093439  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4586 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=6  Id=27  CopyId=27  Generation=1  Age=0  Evolution=1  Result=0.00102407  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4589 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=7  Id=51  CopyId=51  Generation=1  Age=0  Evolution=1  Result=0.00148416  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4591 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=8  Id=28  CopyId=28  Generation=1  Age=0  Evolution=1  Result=0.00147164  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4594 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=9  Id=26  CopyId=26  Generation=1  Age=0  Evolution=1  Result=0.00164099  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4597 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=10  Id=13  CopyId=13  Generation=1  Age=0  Evolution=1  Result=0.00171530  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4599 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=11  Id=4  CopyId=4  Generation=1  Age=0  Evolution=1  Result=0.00194450  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4601 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=12  Id=2  CopyId=2  Generation=1  Age=0  Evolution=1  Result=0.00133759  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=12387.4603 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=13  Id=34  CopyId=34  Generation=1  Age=0  Evolution=1  Result=0.00248480  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4605 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=14  Id=35  CopyId=35  Generation=1  Age=0  Evolution=1  Result=0.00277591  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4608 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=15  Id=9  CopyId=9  Generation=1  Age=0  Evolution=1  Result=0.00195411  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4611 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=16  Id=48  CopyId=50  Generation=1  Age=0  Evolution=1  Result=0.00045145  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4613 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=17  Id=16  CopyId=2  Generation=1  Age=0  Evolution=1  Result=0.00220203  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4616 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=18  Id=37  CopyId=13  Generation=1  Age=0  Evolution=1  Result=0.00121328  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=12387.4618 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=19  Id=46  CopyId=13  Generation=1  Age=0  Evolution=1  Result=0.00089492  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4620 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=20  Id=5  CopyId=21  Generation=1  Age=0  Evolution=1  Result=0.00055248  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4623 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=21  Id=1  CopyId=27  Generation=1  Age=0  Evolution=1  Result=0.00102407  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=12387.4625 Seconds  TestError=0.00000090
