CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.07451279  Best=0.07451279 BestError=0.06425745  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00036490  Best=0.00036490 BestError=0.00035849  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00236094  Best=0.00036490 BestError=0.00035849  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112707  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   3  Id=   3  Generation= 16  Age=  4  Evolution= 3  Weight=0.00024676  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   4.6  Run Time=  47.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   9  Id=   3  Generation= 22  Age= 10  Evolution= 3  Weight=0.00034547  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.4  Run Time=  47.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  10  Id=   3  Generation= 23  Age= 11  Evolution= 3  Weight=0.00036192  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  48.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  15  Id=   3  Generation= 28  Age= 16  Evolution= 3  Weight=0.00044417  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.5  Run Time=  48.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  13  Id=   3  Generation= 26  Age= 14  Evolution= 3  Weight=0.00041127  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   2.7  Run Time=  48.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  11  Id=   3  Generation= 24  Age= 12  Evolution= 3  Weight=0.00037837  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   1.6  Run Time=  49.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   3  Generation= 19  Age=  7  Evolution= 3  Weight=0.00029612  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00001645 BestError=0.00003862  Time=   6.4  Run Time=  49.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00025034  Best=0.00001645 BestError=0.00003862  Time=   6.5  Run Time=  49.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  12  Id=   3  Generation= 25  Age= 13  Evolution= 3  Weight=0.00039482  Old Result= 0.00001645 *New Result=0.00000310  Best=0.00000310 BestError=0.00001526  Time=   4.2  Run Time=  50.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  14  Id=   3  Generation= 27  Age= 15  Evolution= 3  Weight=0.00042772  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   0.8  Run Time=  50.3
