CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.45582074  Best=0.45582074 BestError=0.47709805  Time=   7.5  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.45582074 BestError=0.47709805  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00396626  Best=0.00396626 BestError=0.00440867  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00198424  Best=0.00198424 BestError=0.00293820  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   5  Id=  17  Generation= 10  Age=  6  Evolution= 2  Weight=0.00119188  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.5  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   3  Id=  17  Generation=  8  Age=  4  Evolution= 2  Weight=0.00092702  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.7  Run Time=  56.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   9  Id=  17  Generation= 14  Age= 10  Evolution= 2  Weight=0.00172161  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.4  Run Time=  58.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  15  Id=  17  Generation= 19  Age= 15  Evolution= 2  Weight=0.00238377  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.4  Run Time=  59.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  12  Id=  17  Generation= 17  Age= 13  Evolution= 2  Weight=0.00211890  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.7  Run Time=  59.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  11  Id=  17  Generation= 16  Age= 12  Evolution= 2  Weight=0.00198647  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.5  Run Time=  59.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00013243 BestError=0.00008015  Time=   6.4  Run Time=  60.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   2  Id=  17  Generation=  7  Age=  3  Evolution= 2  Weight=0.00079459  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   6.5  Run Time=  60.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  13  Id=  17  Generation= 18  Age= 14  Evolution= 2  Weight=0.00225134  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   5.0  Run Time=  61.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   8  Id=  17  Generation= 13  Age=  9  Evolution= 2  Weight=0.00158918  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   1.2  Run Time=  61.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  14  Id=  16  Generation= 17  Age=  2  Evolution= 2  Weight=0.00236368  Old Result= 0.00014773  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   5.0  Run Time=  61.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=  10  Id=  17  Generation= 15  Age= 11  Evolution= 2  Weight=0.00185404  Old Result= 0.00013243  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   1.2  Run Time=  61.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=15  Index=   1  Id=  16  Generation= 18  Age=  3  Evolution= 2  Weight=0.00251141  Old Result= 0.00014773  Bad Result=10.00000000  Best=0.00013243 BestError=0.00008015  Time=   2.5  Run Time=  64.5
