CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=2  Result=0.00008970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4209 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=2  Result=0.00019774  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4231 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4253 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4271 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4292 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4311 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=8  Age=1  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4330 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=763.5787 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=2  Result=0.00008970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5807 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=2  Result=0.00019774  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5830 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5850 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5873 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5894 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5912 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=9  Age=2  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5931 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=769.6567 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=2  Result=0.00008970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6589 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=2  Result=0.00019774  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6611 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6633 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6653 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6674 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6695 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=10  Age=3  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6715 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=776.9884 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=2  Result=0.00008970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9905 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=2  Result=0.00019774  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9925 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9945 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9964 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9982 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=777.0000 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=11  Age=4  Evolution=1  Result=0.00001043  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=777.0019 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4323 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=4  Result=0.00008166  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4345 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=1  Result=0.00018340  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4365 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=1  Result=0.00038087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4385 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=1  Result=0.00074184  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4405 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=2  Result=0.00111542  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4423 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=1  Result=0.02459332  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4445 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=12  Age=5  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4468 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=3  Result=0.00000754  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0001 Seconds  Run Time=793.0324 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=2  Result=0.00002921  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0344 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=2  Result=0.00018156  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0364 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=1  Result=0.00038087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0384 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=1  Result=0.00074184  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0405 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=2  Result=0.00111542  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0423 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=1  Generation=13  Age=6  Evolution=1  Result=0.02459332  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0443 Seconds  TestError=0.00000030
