CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=47  Age=1  Result=0.00000072  Best=0.00000072  BestGen=46  Time=0.1077 Seconds  Run Time=16.5711 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=48  Age=0 *Result=0.00000060  Best=0.00000060  BestGen=48  Time=0.2965 Seconds  Run Time=16.8677 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=49  Age=1  Result=0.00000060  Best=0.00000060  BestGen=48  Time=0.1019 Seconds  Run Time=16.9696 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=50  Age=0 *Result=0.00000051  Best=0.00000051  BestGen=50  Time=0.2937 Seconds  Run Time=17.2633 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=51  Age=0 *Result=0.00000048  Best=0.00000048  BestGen=51  Time=0.2976 Seconds  Run Time=17.5609 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=52  Age=1  Result=0.00000048  Best=0.00000048  BestGen=51  Time=0.1074 Seconds  Run Time=17.6683 Seconds  TestError=0.00000036
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=53  Age=2  Result=0.00000048  Best=0.00000048  BestGen=51  Time=0.1007 Seconds  Run Time=17.7690 Seconds  TestError=0.00000012
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=54  Age=3  Result=0.00000048  Best=0.00000048  BestGen=51  Time=0.0981 Seconds  Run Time=17.8670 Seconds  TestError=0.00000024
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=55  Age=0 *Result=0.00000042  Best=0.00000042  BestGen=55  Time=0.2933 Seconds  Run Time=18.1603 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=56  Age=1  Result=0.00000042  Best=0.00000042  BestGen=55  Time=0.1016 Seconds  Run Time=18.2620 Seconds  TestError=0.00000027
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=57  Age=0 *Result=0.00000039  Best=0.00000039  BestGen=57  Time=0.2953 Seconds  Run Time=18.5573 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=58  Age=0 *Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.2979 Seconds  Run Time=18.8552 Seconds  TestError=0.00000083
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=59  Age=1  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.1036 Seconds  Run Time=18.9588 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=60  Age=2  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0985 Seconds  Run Time=19.0573 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=61  Age=3  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0984 Seconds  Run Time=19.1556 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=62  Age=4  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0982 Seconds  Run Time=19.2538 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=63  Age=5  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0985 Seconds  Run Time=19.3523 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=64  Age=6  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0972 Seconds  Run Time=19.4495 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=65  Age=7  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0982 Seconds  Run Time=19.5478 Seconds  TestError=0.00000060
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=66  Age=8  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0986 Seconds  Run Time=19.6464 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=67  Age=9  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0985 Seconds  Run Time=19.7449 Seconds  TestError=0.00000048
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=68  Age=10  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0990 Seconds  Run Time=19.8439 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=69  Age=11  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0985 Seconds  Run Time=19.9424 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=70  Age=12  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0980 Seconds  Run Time=20.0403 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=71  Age=13  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0975 Seconds  Run Time=20.1378 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=72  Age=14  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0975 Seconds  Run Time=20.2354 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=73  Age=15  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0976 Seconds  Run Time=20.3330 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=74  Age=16  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0975 Seconds  Run Time=20.4305 Seconds  TestError=0.00000072
FIRESTARTER_OPTIMIZE: Seed=0  Test=1  Generation=75  Age=17  Result=0.00000036  Best=0.00000036  BestGen=58  Time=0.0974 Seconds  Run Time=20.5279 Seconds  TestError=0.00000060
