CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_OPTIMIZE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_OPTIMIZE: Generation: 223  Best Generation: 203  Result=0.00000054  Seed=     223  ResultHash=4505  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 224  Best Generation: 203  Result=0.00000054  Seed=     224  ResultHash=D34E  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 225  Best Generation: 203  Result=0.00000054  Seed=     225  ResultHash=1ECD  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 226  Best Generation: 203  Result=0.00000054  Seed=     226  ResultHash=3C53  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 227  Best Generation: 203  Result=0.00000054  Seed=     227  ResultHash=5DA6  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 228  Best Generation: 203  Result=0.00000054  Seed=     228  ResultHash=0D86  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 229  Best Generation: 203  Result=0.00000054  Seed=     229  ResultHash=C39E  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 230  Best Generation: 203  Result=0.00000054  Seed=     230  ResultHash=86C3  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 231  Best Generation: 203  Result=0.00000054  Seed=     231  ResultHash=2EDC  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 232  Best Generation: 203  Result=0.00000054  Seed=     232  ResultHash=81D4  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 233  Best Generation: 203  Result=0.00000054  Seed=     233  ResultHash=3128  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 234  Best Generation: 203  Result=0.00000054  Seed=     234  ResultHash=4365  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 235  Best Generation: 203  Result=0.00000054  Seed=     235  ResultHash=9B24  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 119  Best Generation: 203  Result=0.00001906  Seed=     119  ResultHash=311C  ProgramHash=5F34
FIRESTARTER_OPTIMIZE: Generation: 119  Best Generation: 203  Result=0.00001515  Seed=     119  ResultHash=84E9  ProgramHash=5F34
