CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=1  Result=0.00137839  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4294 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=1  Result=0.02689373  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4313 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=8  Age=1  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=757.4332 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5790 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=2  Result=0.00009584  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5811 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=2  Result=0.00024593  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5832 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=2  Result=0.00038827  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5853 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=2  Result=0.00079197  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5876 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=1  Result=0.00137839  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5896 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=1  Result=0.02689373  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5915 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=9  Age=2  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=763.5934 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6569 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=2  Result=0.00009584  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6592 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=2  Result=0.00024593  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6613 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=2  Result=0.00038827  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6636 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=2  Result=0.00079197  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6656 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=1  Result=0.00137839  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6677 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=1  Result=0.02689373  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6698 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=10  Age=3  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=769.6718 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9887 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=2  Result=0.00009584  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9908 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=2  Result=0.00024593  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9927 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=2  Result=0.00038827  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9948 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=2  Result=0.00079197  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9966 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=1  Result=0.00137839  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=776.9984 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=1  Result=0.02689373  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=777.0002 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=11  Age=4  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=777.0021 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4325 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=2  Result=0.00008970  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4348 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=2  Result=0.00019774  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4367 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4387 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4407 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4425 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4448 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=12  Age=5  Evolution=1  Result=0.85227418  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=784.4471 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=3  Result=0.00000811  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0327 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=4  Result=0.00008166  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0346 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=1  Result=0.00018340  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0366 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=2  Result=0.00038624  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0386 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=1  Result=0.00074606  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0408 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=2  Result=0.00117087  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0425 Seconds  TestError=0.00000030
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=13  Age=6  Evolution=1  Result=0.02511588  Best=0.00000393  BestSeed=0  BestGen=7  Time=0.0000 Seconds  Run Time=793.0445 Seconds  TestError=0.00000030
