CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00021137  Best=0.00021137 BestError=0.00087534  Time=   7.6  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00033587  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00021137 BestError=0.00087534  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   6  Id=  12  Generation= 21  Age=  9  Evolution= 2  Weight=0.00108684  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.5  Run Time=  51.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=   9  Generation= 16  Age=  2  Evolution= 3  Weight=0.00100298  Old Result= 0.00006687  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   4.9  Run Time=  53.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   4  Id=   9  Generation= 17  Age=  3  Evolution= 3  Weight=0.00106984  Old Result= 0.00006687  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   5.4  Run Time=  54.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   5  Id=   7  Generation=  7  Age=  5  Evolution= 2  Weight=0.00108147  Old Result= 0.00018024  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   7.5  Run Time=  56.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   0  Id=  19  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01149631  Best=0.00005434 BestError=0.00004444  Time=   7.6  Run Time=  56.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=   1  Generation=  4  Age=  2  Evolution= 2  Weight=0.00091016  Old Result= 0.00030339  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   7.8  Run Time=  56.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  10  Id=   0  Generation= 10  Age=  2  Evolution= 4  Weight=0.00118379  Old Result= 0.00013153  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.6  Run Time=  56.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=   3  Generation=  8  Age=  2  Evolution= 2  Weight=0.00100329  Old Result= 0.00014333  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   7.8  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   7  Id=   9  Generation= 18  Age=  4  Evolution= 3  Weight=0.00113671  Old Result= 0.00006687  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   7.8  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  14  Id=   1  Generation=  5  Age=  3  Evolution= 2  Weight=0.00121355  Old Result= 0.00030339 >New Result=0.00027072  Best=0.00005434 BestError=0.00004444  Time=   7.1  Run Time=  58.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   8  Id=  12  Generation= 22  Age= 10  Evolution= 2  Weight=0.00114118  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.2  Run Time=  58.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  11  Id=  12  Generation= 23  Age= 11  Evolution= 2  Weight=0.00119552  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.2  Run Time=  58.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  15  Id=  12  Generation= 24  Age= 12  Evolution= 2  Weight=0.00124986  Old Result= 0.00005434  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   2.2  Run Time=  58.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  13  Id=   9  Generation= 19  Age=  5  Evolution= 3  Weight=0.00120357  Old Result= 0.00006687  Bad Result=10.00000000  Best=0.00005434 BestError=0.00004444  Time=   3.2  Run Time=  59.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=  12  Id=  13  Generation=  2  Age=  2  Evolution= 1  Weight=0.00119859  Old Result= 0.00119859 *New Result=0.00004303  Best=0.00004303 BestError=0.00008762  Time=   5.5  Run Time=  59.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   9  Id=   3  Generation=  9  Age=  3  Evolution= 2  Weight=0.00114662  Old Result= 0.00014333  Bad Result=10.00000000  Best=0.00004303 BestError=0.00008762  Time=   3.5  Run Time=  60.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   1  Id=  13  Generation=  4  Age=  2  Evolution= 2  Weight=0.00012910  Old Result= 0.00004303  Bad Result=10.00000000  Best=0.00004303 BestError=0.00008762  Time=   2.4  Run Time=  62.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   2  Id=  13  Generation=  5  Age=  3  Evolution= 2  Weight=0.00017214  Old Result= 0.00004303  Bad Result=10.00000000  Best=0.00004303 BestError=0.00008762  Time=   2.5  Run Time=  62.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   3  Id=  13  Generation=  6  Age=  4  Evolution= 2  Weight=0.00021517  Old Result= 0.00004303  Bad Result=10.00000000  Best=0.00004303 BestError=0.00008762  Time=   2.6  Run Time=  63.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 7  Index=   4  Id=  13  Generation=  7  Age=  5  Evolution= 2  Weight=0.00025821  Old Result= 0.00004303  Bad Result=10.00000000  Best=0.00004303 BestError=0.00008762  Time=   2.6  Run Time=  63.0
