instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00062478  Result=0.00062692  Best=0.00062478  Seed=C0A95C8E  ResultHash=6AF3  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00062478  Result=0.00062525  Best=0.00062478  Seed=C0A95CF2  ResultHash=5730  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00062478  Result=0.00062597  Best=0.00062478  Seed=C0A95D56  ResultHash=0B3D  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00062478  Result=0.00062549  Best=0.00062478  Seed=C0A95DBA  ResultHash=E703  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00062478  Result=0.00062621  Best=0.00062478  Seed=C0A95E1E  ResultHash=047A  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.00062478  Result=0.00062561  Best=0.00062478  Seed=C0A95E82  ResultHash=6720  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.00062478  Result=0.00062692  Best=0.00062478  Seed=C0A95EE6  ResultHash=B9AE  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.00062478  Result=0.00062644  Best=0.00062478  Seed=C0A95F4A  ResultHash=02B9  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.00062478  Result=0.00062549  Best=0.00062478  Seed=C0A95FAE  ResultHash=0E5B  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.00062478  Result=0.00062609  Best=0.00062478  Seed=C0A96012  ResultHash=1543  ProgramHash=1187
