variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 17408;
iterations = 128;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=62  Seed=62  Result=0.00836098  Average=0.17170461  Best=0.00061893  BestSeed=8  Time=0.2229 Seconds  Run Time=16.7957 Seconds  TestError=0.00000054
FIRESTARTER_RANDOM: Generation=63  Seed=60  Result=0.00616223  Average=0.16903457  Best=0.00061893  BestSeed=8  Time=0.2197 Seconds  Run Time=16.8222 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=64  Seed=63  Result=0.01112342  Average=0.16652805  Best=0.00061893  BestSeed=8  Time=0.2174 Seconds  Run Time=16.8933 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=65  Seed=64  Result=0.00606759  Average=0.16402085  Best=0.00061893  BestSeed=8  Time=0.2146 Seconds  Run Time=16.9295 Seconds  TestError=0.00000010
FIRESTARTER_RANDOM: Generation=66  Seed=65  Result=0.01419672  Average=0.16171587  Best=0.00061893  BestSeed=8  Time=0.2119 Seconds  Run Time=16.9660 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=67  Seed=68  Result=0.00372608  Average=0.15932207  Best=0.00061893  BestSeed=8  Time=0.2125 Seconds  Run Time=17.2188 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=68  Seed=66  Result=0.00677496  Average=0.15704525  Best=0.00061893  BestSeed=8  Time=0.2099 Seconds  Run Time=17.2508 Seconds  TestError=0.00000021
FIRESTARTER_RANDOM: Generation=69  Seed=70  Result=0.01677647  Average=0.15498246  Best=0.00061893  BestSeed=8  Time=0.2074 Seconds  Run Time=17.2870 Seconds  TestError=0.03020072
FIRESTARTER_RANDOM: Generation=70  Seed=69  Result=0.01818514  Average=0.15299991  Best=0.00061893  BestSeed=8  Time=0.2055 Seconds  Run Time=17.3610 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=71  Seed=67  Result=0.85227418  Average=0.16298954  Best=0.00061893  BestSeed=8  Time=0.2030 Seconds  Run Time=17.3889 Seconds  TestError=0.00000030
FIRESTARTER_RANDOM: Generation=72  Seed=71  Result=0.00740939  Average=0.16079827  Best=0.00061893  BestSeed=8  Time=0.2007 Seconds  Run Time=17.4278 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=73  Seed=73  Result=0.00117791  Average=0.15858132  Best=0.00061893  BestSeed=8  Time=0.2014 Seconds  Run Time=17.6834 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=74  Seed=72  Result=0.00995570  Average=0.15654534  Best=0.00061893  BestSeed=8  Time=0.1993 Seconds  Run Time=17.7303 Seconds  TestError=0.00000240
FIRESTARTER_RANDOM: Generation=75  Seed=76  Result=0.00163698  Average=0.15445200  Best=0.00061893  BestSeed=8  Time=0.1970 Seconds  Run Time=17.7557 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=76  Seed=74  Result=0.00183069  Average=0.15241705  Best=0.00061893  BestSeed=8  Time=0.1953 Seconds  Run Time=17.8242 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=77  Seed=75  Result=0.00202014  Average=0.15043813  Best=0.00061893  BestSeed=8  Time=0.1933 Seconds  Run Time=17.8662 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=78  Seed=77  Result=0.00543082  Average=0.14855492  Best=0.00061893  BestSeed=8  Time=0.1912 Seconds  Run Time=17.8954 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=79  Seed=80  Result=0.00142360  Average=0.14666863  Best=0.00061893  BestSeed=8  Time=0.1923 Seconds  Run Time=18.1723 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=80  Seed=78  Result=0.00233805  Average=0.14484167  Best=0.00061893  BestSeed=8  Time=0.1903 Seconds  Run Time=18.2006 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=81  Seed=79  Result=0.00401491  Average=0.14308134  Best=0.00061893  BestSeed=8  Time=0.1884 Seconds  Run Time=18.2410 Seconds  TestError=0.00000593
FIRESTARTER_RANDOM: Generation=82  Seed=82  Result=0.00122595  Average=0.14133003  Best=0.00061893  BestSeed=8  Time=0.1870 Seconds  Run Time=18.3094 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=83  Seed=81  Result=1.48324537  Average=0.15769486  Best=0.00061893  BestSeed=8  Time=0.1850 Seconds  Run Time=18.3330 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=84  Seed=83  Result=0.00808442  Average=0.15589233  Best=0.00061893  BestSeed=8  Time=0.1833 Seconds  Run Time=18.3781 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=85  Seed=85  Result=0.01137161  Average=0.15417184  Best=0.00061893  BestSeed=8  Time=0.1840 Seconds  Run Time=18.6175 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=86  Seed=84  Result=0.00233994  Average=0.15238559  Best=0.00061893  BestSeed=8  Time=0.1823 Seconds  Run Time=18.6575 Seconds  TestError=0.00000097
FIRESTARTER_RANDOM: Generation=87  Seed=87  Result=0.01541436  Average=0.15079290  Best=0.00061893  BestSeed=8  Time=0.1806 Seconds  Run Time=18.6873 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=88  Seed=89  Result=0.18832526  Average=0.15122430  Best=0.00061893  BestSeed=8  Time=0.1793 Seconds  Run Time=18.7533 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=89  Seed=86  Result=0.00531709  Average=0.14956626  Best=0.00061893  BestSeed=8  Time=0.1777 Seconds  Run Time=18.7952 Seconds  TestError=0.00000080
FIRESTARTER_RANDOM: Generation=90  Seed=88  Result=0.00016552  Average=0.14788760  Best=0.00016552  BestSeed=88  Time=0.1762 Seconds  Run Time=18.8404 Seconds  TestError=0.00000137
FIRESTARTER_RANDOM: Generation=91  Seed=91  Result=0.00212646  Average=0.14626804  Best=0.00016552  BestSeed=88  Time=0.1772 Seconds  Run Time=19.1050 Seconds  TestError=0.00000001
FIRESTARTER_RANDOM: Generation=92  Seed=90  Result=0.00192249  Average=0.14468183  Best=0.00016552  BestSeed=88  Time=0.1756 Seconds  Run Time=19.1305 Seconds  TestError=0.00000191
FIRESTARTER_RANDOM: Generation=93  Seed=93  Result=0.00293446  Average=0.14314109  Best=0.00016552  BestSeed=88  Time=0.1741 Seconds  Run Time=19.1693 Seconds  TestError=0.00000013
FIRESTARTER_RANDOM: Generation=94  Seed=94  Result=0.00501752  Average=0.14165589  Best=0.00016552  BestSeed=88  Time=0.1730 Seconds  Run Time=19.2426 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=95  Seed=92  Result=0.00105381  Average=0.14016013  Best=0.00016552  BestSeed=88  Time=0.1714 Seconds  Run Time=19.2641 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=96  Seed=95  Result=0.00163329  Average=0.13870195  Best=0.00016552  BestSeed=88  Time=0.1701 Seconds  Run Time=19.3095 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=97  Seed=97  Result=0.00187659  Average=0.13727669  Best=0.00016552  BestSeed=88  Time=0.1709 Seconds  Run Time=19.5588 Seconds  TestError=0.00000060
FIRESTARTER_RANDOM: Generation=98  Seed=96  Result=0.00529975  Average=0.13591610  Best=0.00016552  BestSeed=88  Time=0.1696 Seconds  Run Time=19.6006 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=99  Seed=98  Result=0.00429058  Average=0.13457298  Best=0.00016552  BestSeed=88  Time=0.1681 Seconds  Run Time=19.6252 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=100  Seed=99  Result=0.85227418  Average=0.14182249  Best=0.00016552  BestSeed=88  Time=0.1672 Seconds  Run Time=19.6950 Seconds  TestError=0.00000083
FIRESTARTER_RANDOM: Generation=101  Seed=100  Result=0.00132716  Average=0.14041753  Best=0.00016552  BestSeed=88  Time=0.1660 Seconds  Run Time=19.7421 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=102  Seed=101  Result=0.00607038  Average=0.13908736  Best=0.00016552  BestSeed=88  Time=0.1645 Seconds  Run Time=19.7619 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=103  Seed=102  Result=0.00281250  Average=0.13775134  Best=0.00016552  BestSeed=88  Time=0.1657 Seconds  Run Time=20.0481 Seconds  TestError=0.00000046
FIRESTARTER_RANDOM: Generation=104  Seed=103  Result=0.00253025  Average=0.13643850  Best=0.00016552  BestSeed=88  Time=0.1643 Seconds  Run Time=20.0657 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=105  Seed=104  Result=0.00335908  Average=0.13515890  Best=0.00016552  BestSeed=88  Time=0.1633 Seconds  Run Time=20.1259 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=106  Seed=105  Result=0.00159909  Average=0.13388690  Best=0.00016552  BestSeed=88  Time=0.1618 Seconds  Run Time=20.1347 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=107  Seed=106  Result=0.03213603  Average=0.13292699  Best=0.00016552  BestSeed=88  Time=0.1610 Seconds  Run Time=20.2019 Seconds  TestError=0.00000066
FIRESTARTER_RANDOM: Generation=108  Seed=107  Result=0.00208808  Average=0.13170420  Best=0.00016552  BestSeed=88  Time=0.1595 Seconds  Run Time=20.2082 Seconds  TestError=0.00000002
FIRESTARTER_RANDOM: Generation=109  Seed=108  Result=0.00426769  Average=0.13052423  Best=0.00016552  BestSeed=88  Time=0.1606 Seconds  Run Time=20.4895 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=110  Seed=109  Result=0.01379883  Average=0.12945335  Best=0.00016552  BestSeed=88  Time=0.1596 Seconds  Run Time=20.5297 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=111  Seed=111  Result=0.00230020  Average=0.12829742  Best=0.00016552  BestSeed=88  Time=0.1584 Seconds  Run Time=20.5606 Seconds  TestError=0.00000006
FIRESTARTER_RANDOM: Generation=112  Seed=113  Result=0.00253808  Average=0.12716444  Best=0.00016552  BestSeed=88  Time=0.1573 Seconds  Run Time=20.5986 Seconds  TestError=0.00000031
FIRESTARTER_RANDOM: Generation=113  Seed=112  Result=0.03316060  Average=0.12632512  Best=0.00016552  BestSeed=88  Time=0.1562 Seconds  Run Time=20.6346 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=114  Seed=110  Result=1.48324537  Average=0.13833326  Best=0.00016552  BestSeed=88  Time=0.1552 Seconds  Run Time=20.6677 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=115  Seed=114  Result=0.01698367  Average=0.13726880  Best=0.00016552  BestSeed=88  Time=0.1557 Seconds  Run Time=20.8891 Seconds  TestError=0.00000036
FIRESTARTER_RANDOM: Generation=116  Seed=116  Result=0.00277805  Average=0.13609931  Best=0.00016552  BestSeed=88  Time=0.1549 Seconds  Run Time=20.9509 Seconds  TestError=0.00000048
FIRESTARTER_RANDOM: Generation=117  Seed=115  Result=0.00208288  Average=0.13494399  Best=0.00016552  BestSeed=88  Time=0.1541 Seconds  Run Time=21.0037 Seconds  TestError=0.00000018
FIRESTARTER_RANDOM: Generation=118  Seed=118  Result=0.00237499  Average=0.13381092  Best=0.00016552  BestSeed=88  Time=0.1529 Seconds  Run Time=21.0197 Seconds  TestError=0.00000030
FIRESTARTER_RANDOM: Generation=119  Seed=117  Result=0.00048745  Average=0.13268106  Best=0.00016552  BestSeed=88  Time=0.1521 Seconds  Run Time=21.0818 Seconds  TestError=0.00000042
FIRESTARTER_RANDOM: Generation=120  Seed=119  Result=1.48324537  Average=0.14403033  Best=0.00016552  BestSeed=88  Time=0.1509 Seconds  Run Time=21.0917 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=121  Seed=120  Result=0.00335741  Average=0.14285806  Best=0.00016552  BestSeed=88  Time=0.1516 Seconds  Run Time=21.3262 Seconds  TestError=0.00000024
